,nr,navn,etablert,type,komnr,plassering,miljo,kap,mh,midl,lengde,bredde,regine
123,11719,KRÅKENES,1974.0,PERMANENT,1412,SJØ,SALTVANN,2340.0,TN,,61.058771,4.919321,081.5
124,11721,BUKKEHOLMEN,1987.0,PERMANENT,1412,SJØ,SALTVANN,780.0,TN,,61.095206,4.905336,081.5
125,11736,FUREHOLMEN S,1974.0,PERMANENT,1412,SJØ,SALTVANN,2340.0,TN,,61.057139,4.865742,081.5
126,11738,OTTERHOLMEN,1973.0,PERMANENT,1260,SJØ,SALTVANN,1560.0,TN,,60.688866,4.905831,066.50
127,11740,HAVERØY,1974.0,PERMANENT,1246,SJØ,SALTVANN,3120.0,TN,,60.403906,4.936281,057.20
128,11749,BÅRØY,1989.0,PERMANENT,1411,SJØ,SALTVANN,3120.0,TN,,60.945026,4.845196,068.4
129,11754,BØØY,1963.0,PERMANENT,1260,SJØ,SALTVANN,780.0,TN,,60.727032,4.860581,066.50
130,11756,ALLERSHOLMEN,1973.0,PERMANENT,1264,SJØ,SALTVANN,1560.0,TN,,60.774436,4.852622,066.2
131,11758,SAUØY Ø,1987.0,PERMANENT,1259,SJØ,SALTVANN,2340.0,TN,,60.592925,4.855847,058.1
132,12127,MÆLEN,1986.0,PERMANENT,1224,SJØ,SALTVANN,3120.0,TN,,59.702224,5.724319,042.94
133,12128,DYRNES,1986.0,PERMANENT,1224,SJØ,SALTVANN,2340.0,TN,,59.717421,5.721054,042.94
134,12134,MARADALEN,1986.0,PERMANENT,1224,SJØ,SALTVANN,3120.0,TN,,59.760783,5.686533,042.94
135,12156,BLOM,1973.0,PERMANENT,1253,SJØ,SALTVANN,3120.0,TN,,60.43637,5.564113,060.2
136,12178,BJØNNSPOTNESET,1973.0,PERMANENT,1416,SJØ,SALTVANN,1625.0,TN,,61.099137,5.818325,069.71
137,12179,OSLANDSURDA,1973.0,PERMANENT,1416,SJØ,SALTVANN,780.0,TN,,61.084576,5.810511,069.71
138,12180,OSLAND II,1973.0,PERMANENT,1416,LAND,FERSKVANN,300.0,STK,,61.071764,5.800673,069.71
139,12192,SKORVA,1983.0,PERMANENT,1428,SJØ,SALTVANN,1560.0,TN,,61.465566,5.313291,084.520
140,12209,RØNSTAD,1973.0,PERMANENT,1519,SJØ,SALTVANN,1560.0,TN,,62.133217,6.017369,094.31
141,12212,LINDENESET,1986.0,PERMANENT,1445,SJØ,SALTVANN,780.0,TN,,61.799106,5.979604,086.9
142,12213,KVANGARDSNES,1978.0,PERMANENT,1519,SJØ,SALTVANN,780.0,TN,,62.14597,5.943157,094.120
143,12215,KLEPPENESET,1986.0,PERMANENT,1445,SJØ,SALTVANN,780.0,TN,,61.786431,5.975157,086.9
144,12224,ISANE,2003.0,PERMANENT,1438,SJØ,SALTVANN,1560.0,TN,,61.874932,5.720932,086.44
145,12237,BRUDEVIKA,1977.0,PERMANENT,1511,SJØ,SALTVANN,3120.0,TN,,62.119035,5.422539,092.61
146,12239,KRÅKNES,1972.0,PERMANENT,1547,SJØ,SALTVANN,3120.0,TN,,62.8316,6.962767,106.420
147,11763,KNAPPEN,1986.0,PERMANENT,1259,SJØ,SALTVANN,1560.0,TN,,60.572814,4.816407,058.2
148,11767,LANGØY,2006.0,PERMANENT,1412,SJØ,SALTVANN,1560.0,TN,,61.044645,4.724601,081.7
149,11770,ROTØY,1986.0,PERMANENT,1259,SJØ,SALTVANN,1560.0,TN,,60.682524,4.759982,058.1
150,11771,GRISHOLMSUNDET,2007.0,PERMANENT,1265,SJØ,SALTVANN,780.0,TN,,60.792905,4.694137,066.1
151,11772,MOLDØYOSEN,2007.0,PERMANENT,1265,SJØ,SALTVANN,780.0,TN,,60.789978,4.701262,066.1
152,11775,KVITESKJERET,2003.0,PERMANENT,1428,SJØ,SALTVANN,2340.0,TN,,61.469321,5.220784,084.4
153,11776,SVEHOLMANE,1986.0,PERMANENT,1401,SJØ,SALTVANN,1560.0,TN,,61.557158,5.211977,085.1
154,11783,HELLA,2003.0,PERMANENT,1428,SJØ,SALTVANN,2340.0,TN,,61.401867,5.092079,084.120
155,11786,HØYVIKA,1984.0,PERMANENT,1428,SJØ,SALTVANN,1560.0,TN,,61.373865,4.964442,084.21
156,11791,LANGERÅA,1973.0,PERMANENT,1401,SJØ,SALTVANN,2340.0,TN,,61.6323,4.858979,085.82
157,11793,ÅNNAHOLMANE,1981.0,PERMANENT,1428,SJØ,SALTVANN,1560.0,TN,,61.283901,4.72754,084.3
158,11800,AUSTENESTÅA,1987.0,PERMANENT,1401,SJØ,SALTVANN,1560.0,TN,,61.490301,5.167471,084.92
159,11803,KYRAVIKA,1990.0,PERMANENT,1429,SJØ,SALTVANN,3120.0,TN,,61.317373,5.154974,082.41
160,11807,MARØYTÅA,1973.0,PERMANENT,1401,SJØ,SALTVANN,2340.0,TN,,61.50499,5.114871,084.92
161,11809,KRABBESTIG,1977.0,PERMANENT,1439,SJØ,SALTVANN,3900.0,TN,,61.896939,5.053759,091.14
162,11813,SVINØY V,1984.0,PERMANENT,1429,SJØ,SALTVANN,1560.0,TN,,61.302234,5.097022,082.31
163,11833,FLÅTEGRUNNEN,1984.0,PERMANENT,1401,SJØ,SALTVANN,3120.0,TN,,61.576195,4.817443,085.81
164,11854,PINNEN,1986.0,PERMANENT,1004,SJØ,SALTVANN,3600.0,TN,,58.228551,6.680714,025.62
165,11856,SALVÅGVIKA,1987.0,PERMANENT,1004,SJØ,SALTVANN,3120.0,TN,,58.222293,6.633439,026.2
166,11857,BUKSEVIKA,1984.0,PERMANENT,1004,SJØ,SALTVANN,3120.0,TN,,58.207934,6.634395,026.2
167,11861,SKIPNINGSDALEN,1987.0,PERMANENT,1004,SJØ,SALTVANN,3120.0,TN,,58.244829,6.589335,026.110
168,11864,NAPP,1986.0,PERMANENT,1004,SJØ,SALTVANN,2340.0,TN,,58.249409,6.500398,026.2
169,11893,FOSSÅ,1973.0,PERMANENT,1133,SJØ,SALTVANN,3600.0,TN,,59.270015,6.146898,035.5
170,11907,GRÅTNES,2004.0,PERMANENT,1129,SJØ,SALTVANN,1000.0,TN,,58.873197,6.122395,030.421
171,11908,OLTESVIK,1991.0,PERMANENT,1122,SJØ,SALTVANN,910.0,TN,,58.854361,6.123959,030.12
172,11913,KJEAHOLA,1973.0,PERMANENT,1133,SJØ,SALTVANN,3600.0,TN,,59.289865,6.06971,034.1
173,11920,HERØY,1978.0,PERMANENT,1160,SJØ,SALTVANN,3055.0,TN,,59.468673,6.029512,038.212
174,11922,OANES (SJØ),2000.0,PERMANENT,1129,SJØ,SALTVANN,1224.0,M3,,58.908102,6.076067,031.622
175,11925,VINTRAVIKI,1973.0,PERMANENT,1134,SJØ,SALTVANN,520.0,TN,,59.399178,6.016217,037.62
176,11930,BJELKAVIK,1986.0,PERMANENT,1134,SJØ,SALTVANN,2340.0,TN,,59.446997,5.985533,038.12
177,11939,SMAL-SKAR,1986.0,PERMANENT,1141,SJØ,SALTVANN,2340.0,TN,,59.20218,5.968608,034.2
178,11957,INDRE SLETTAVIKNESET,1973.0,PERMANENT,1102,SJØ,SALTVANN,2340.0,TN,,58.951727,5.941929,029.21
179,11964,RINGJA,1972.0,PERMANENT,1146,SJØ,SALTVANN,3120.0,TN,,59.406305,5.860483,038.52
180,11966,SKIGELSTRAND,1973.0,PERMANENT,1160,SJØ,SALTVANN,780.0,TN,,59.493964,5.843504,038.42
181,11971,STORE TEISTHOLMEN Ø,1984.0,PERMANENT,1102,SJØ,SALTVANN,2340.0,TN,,58.975862,5.861465,029.21
182,11972,PRESTHOLMANE,1973.0,PERMANENT,1141,SJØ,SALTVANN,2340.0,TN,,59.116517,5.843359,034.4
183,12003,ROSSHOLMEN N,2003.0,PERMANENT,1142,SJØ,SALTVANN,2340.0,TN,,59.062164,5.719605,034.4
184,12007,DALE II,1973.0,PERMANENT,1142,SJØ,SALTVANN,1560.0,TN,,59.086062,5.702968,034.4
185,12011,HÅØYA NØ,2003.0,PERMANENT,1146,SJØ,SALTVANN,2340.0,TN,,59.289263,5.671019,039.12
186,12018,ROSSHOLMEN,2007.0,PERMANENT,1238,SJØ,SALTVANN,500.0,TN,,60.394608,6.275128,052.510
187,12019,SALTKJELEN II,1973.0,PERMANENT,1227,SJØ,SALTVANN,2340.0,TN,,60.248017,6.2014,047.12
188,12022,LJONESBJØRGENE,1973.0,PERMANENT,1238,SJØ,SALTVANN,2340.0,TN,,60.256953,6.164446,052.80
189,12033,DYSVIK,1973.0,PERMANENT,1238,SJØ,SALTVANN,1560.0,TN,,60.19326,5.966031,053.22
190,12035,HONDSKÅR,1973.0,PERMANENT,1224,SJØ,SALTVANN,2340.0,TN,,60.107335,5.941545,053.3
191,12036,HISDALEN,1973.0,PERMANENT,1224,SJØ,SALTVANN,2340.0,TN,,60.126894,5.932525,053.3
192,12040,BRANDASKUTA,1973.0,PERMANENT,1224,SJØ,SALTVANN,2340.0,TN,,59.976323,5.910617,045.5
193,12047,MJÅNESET,1973.0,PERMANENT,1241,SJØ,SALTVANN,2340.0,TN,,60.176028,5.723933,053.73
194,12048,SKIFTESNESET N,1973.0,PERMANENT,1241,SJØ,SALTVANN,3120.0,TN,,60.0719,5.736557,053.610
195,12067,ALDALEN,1986.0,PERMANENT,1243,SJØ,SALTVANN,2340.0,TN,,60.249259,5.572149,055.60
196,12071,OMMUNDSTEIGEN,2006.0,PERMANENT,1134,SJØ,SALTVANN,1040.0,TN,,59.549739,6.512615,036.21
197,12074,SVÅSANDNESET,1990.0,PERMANENT,1227,SJØ,SALTVANN,3120.0,TN,,60.323617,6.318133,047.31
198,12078,GANGDAL,1973.0,MIDLERTIDIG,1227,SJØ,SALTVANN,2340.0,TN,,60.215469,6.157197,047.11
199,12081,STRAUMNESET,1973.0,MIDLERTIDIG,1227,SJØ,SALTVANN,2340.0,TN,,60.221397,6.140429,047.11
